,날짜,공포지수,UBMI,UBAI
0,2022/02/23,36.91,8538.99,6238.09
1,2022/02/22,33.21,8432.36,6104.11
2,2022/02/21,26.89,8239.45,5958.35
3,2022/02/20,32.28,8584.62,6245.1
4,2022/02/19,38.83,8969.53,6560.04
5,2022/02/18,36.95,8974.12,6571.25
6,2022/02/17,37.09,9095.8,6710.89
7,2022/02/16,49.73,9812.91,7235.63
8,2022/02/15,51.83,9926.3,7333.21
9,2022/02/14,44.0,9384.5,6819.28
10,2022/02/13,43.91,9372.67,6806.28
11,2022/02/12,43.62,9425.94,6885.95
12,2022/02/11,43.62,9458.84,6893.07
13,2022/02/10,50.25,9830.25,7295.48
14,2022/02/09,55.0,10068.49,7596.42
15,2022/02/08,56.54,9980.6,7454.81
16,2022/02/07,58.45,10020.75,7543.82
17,2022/02/06,51.97,9653.77,7238.13
18,2022/02/05,50.95,9483.6,7116.24
19,2022/02/04,51.08,9390.77,6990.61
20,2022/02/03,37.61,8555.34,6417.46
21,2022/02/02,35.66,8497.4,6375.61
22,2022/02/01,42.71,8908.17,6677.16
23,2022/01/31,40.47,8715.05,6443.17
24,2022/01/30,39.43,8650.07,6346.81
25,2022/01/29,39.17,8647.28,6352.84
26,2022/01/28,37.23,8500.63,6205.44
27,2022/01/27,34.07,8281.53,5976.07
28,2022/01/26,31.32,8234.86,6017.37
29,2022/01/25,30.9,8183.21,5964.78
30,2022/01/24,27.25,8159.43,5955.63
31,2022/01/23,27.42,8259.77,6199.3
32,2022/01/22,19.15,8037.86,5981.72
33,2022/01/21,23.37,8515.93,6443.61
34,2022/01/20,41.32,9472.82,7293.73
35,2022/01/19,41.67,9648.3,7468.12
36,2022/01/18,42.53,9895.98,7734.15
37,2022/01/17,43.58,10059.31,7959.46
38,2022/01/16,44.67,10245.76,8144.55
39,2022/01/15,44.67,10228.92,8085.73
40,2022/01/14,41.84,10187.48,8039.31
41,2022/01/13,39.8,10055.94,7881.46
42,2022/01/12,42.89,10377.47,8166.14
43,2022/01/11,40.18,10094.14,7875.02
44,2022/01/10,37.06,9759.82,7503.58
45,2022/01/09,40.02,9942.45,7731.52
46,2022/01/08,39.64,9972.47,7704.34
